Heure,Film,Cinéma,Langue
20:20,Histoires parallèles,Utopia,VF
20:45,Le Diable s'habille en Prada 2,Pathé Odysseum,VF
21:00,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
21:00,Le Diable s'habille en Prada 2,Pathé Comédie,VOST
21:30,La Vénus électrique,Pathé Comédie,VF
21:30,Autofiction,Pathé Odysseum,VOST
21:30,Michael,Pathé Odysseum,VF
21:30,La Vénus électrique,Pathé Odysseum,VF
21:30,L’Être Aimé,Pathé Comédie,VOST
21:45,Star Wars: The Mandalorian and Grogu,Pathé Comédie,VOST
21:45,Autofiction,Pathé Comédie,VF
21:45,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
21:45,Michael,Pathé Comédie,VOST
22:00,Le Diable s'habille en Prada 2,Pathé Odysseum,VF
22:00,L’Abandon,Pathé Odysseum,VF
22:00,The Drama,Pathé Comédie,VOST
22:10,All You Need Is Kill,Pathé Odysseum,VF
22:10,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
22:15,Michael,Pathé Odysseum,VF
22:15,Le Réveil de la Momie,Pathé Odysseum,VF
22:15,Star Wars: The Mandalorian and Grogu,Pathé Odysseum,VF
22:30,Bagarre,Pathé Odysseum,VF
22:30,Obsession,Pathé Odysseum,VF
